순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독,tmdb_id,genres,cast,poster_url
102,닥터 스트레인지,2016-10-26,"47,490,572,396","5,447,269","1,503","162,879",미국,미국,월트디즈니컴퍼니코리아(주),액션,115분,8.89,스콧 데릭슨,284052.0,"액션, 모험, 판타지","베네딕트 컴버배치, 추이텔 에지오포, 레이첼 맥아담스, 베네딕트 웡, 매즈 미켈슨, 틸다 스윈튼, 마이클 스툴바그, 벤저민 브랫, 스콧 애드킨스, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker, Adam Pelta-Pauls, Sarah Malin, Eben Young, Kobna Holdbrook-Smith, Elizabeth Healey, Guillaume Faure, Daniel Dow, 스탠 리, Ezra Faroque Khan, Kimberly Van Luin, Pat Kiernan, Raj Awasti, Jill Buchanan, Daniel Eghan, Juani Feliz, Mo Idriss, Tamika Katon-Donegal, Pezh Maan, Kei Miura, Cameron Moon, Emeson Nwolie, Clem So, 크리스 헴스워스, Samantha Russell, Tina Simmons",https://image.tmdb.org/t/p/w500/xA7ic72L0mejJX1SYMU38F7wwiF.jpg
103,검은 사제들,2015-11-05,"42,412,952,592","5,443,232","1,109","131,179",한국,한국,(주)씨제이이엔엠,미스터리,108분,8.55,장재현,360551.0,"미스터리, 스릴러, 드라마, 공포","김윤석, 강동원, 박소담, 김의성, 손종학, 이호재, 남일우, 김병옥, 조수향, 박웅, 이정열, 김소숙, 민진웅, Leo Martin, Luca Vaquer, Lee Tae-rim, 남문철, 정하담, 이효제, Lee Nam-hee, 김수진, Lee Ye-sun, 손민석, Masikonte James Saitoti, Arturo Jose Garcia",https://image.tmdb.org/t/p/w500/3zYZ5hZUNHwgObdqbDYlS8l24FE.jpg
104,안시성,2018-09-19,"46,343,506,526","5,441,207","1,540","110,456",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,135분,8.63,김광식,535389.0,"전쟁, 역사, 액션","조인성, 남주혁, 박성웅, 배성우, 엄태구, 김설현, 박병은, 오대환, 정은채, 유오성, 장광, 성동일, Yeo Hoi-hyeon, 정지훈, 정인겸, 주석태, Shin Yoo-ram, 스테파니 리, Bang Soo-hyung, 염문경, Jung Yi-jae, Jo Hyun-wu, Jong Ho, 이은희, Jo Hye-in, 차은우, Cha Bo-sung, Yoon Young-kyun, Kim Won-jung",https://image.tmdb.org/t/p/w500/buZA2PJAIHxDBby6vYGgvcYpaxH.jpg
105,의형제,2010-02-04,"40,154,381,000","5,416,923",569,"118,251",한국,한국,(주)쇼박스,액션,116분,8.87,장훈,50090.0,"스릴러, 액션, 드라마","송강호, 강동원, 전국환, 박혁권, Yoon Hee-seok, 최정우, Kwon Beom-taek, 정인기, Jo Hyun-wu, 차엽, Lee So-yoon, Lee Jasmine, Park Yong-jin, 이종구, Ha Soo-ho, 박진우, Han Seung-do, Lee Nak-jun, 김영웅, Go Kyeong-min, 신승용, 배용근, Lim Se-hwan, Ko Jung-min, Baek Seung-ik, 영건, Seo Myeong-Seok, 김경란, Joo Boo-jin, 박성연, Park Hyo-bin, 유하복, Kim Moon-hak, Lee San-ho, 고창석, 박수영, 김광규",https://image.tmdb.org/t/p/w500/mgHYCmfmFnnKCbrR42hZTNbeq4n.jpg
106,블랙 팬서,2018-02-14,"45,896,080,357","5,400,241","1,620","119,239",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,135분,8.33,라이언 쿠글러,284054.0,"액션, 모험, SF","채드윅 보스만, 마이클 B. 조던, 루피타 뇽오, 다나이 구리라, 마틴 프리먼, 다니엘 칼루야, 레티티아 라이트, 윈스턴 듀크, 스털링 K. 브라운, 안젤라 바셋, 포레스트 휘태커, 앤디 서키스, Florence Kasumba, 존 카니, David S. Lee, Nabiyah Be, Isaach de Bankolé, Connie Chiume, Dorothy Steel, 대니 사 파니, Sydelle Noel, Marija Abney, Zola Williams, Janeshia Adams-Ginyard, Maria Hippolyte, Marie Mouroum, Jénel Stevens, Sope Aluko, 스탠 리, Atandwa Kani, Ashton Tyler, Denzel Whitaker, Shaunette Renée Wilson, Christine Hollingsworth, Lucy Hockings, Bambadjan Bamba, Roland Kilumbu, Jermaine Holt, Dominique Elijah Smith, Jalil Jay Lynch, Vaughndio Forbes, Sasha Morfaw, Alexis Louder, Francesca Faridany, Mark Ashworth, Seth Carr, Jeremy Sample, Chad Crumley, Alexis Rhee, Danny Chung, Liz Elkins Newcomer, Tony Sears, Alex C. Riley Hughes, Clifford Gay, Shamel Heath, De'Jon Watts, Alex R. Hibbert, Tristan Timmons, Tyler Timmons, Abraham Clinkscales, Thabo Moropane, Zani Mogodi, Zenzi Williams, 트레버 노아, T. Love, 세바스찬 스탠",https://image.tmdb.org/t/p/w500/iRkknrX0rRxZHSL79W2Rax0EFsL.jpg
107,2012,2009-11-12,"38,941,723,000","5,397,597",856,"89,309",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,157분,7.6,롤랜드 에머리히,14161.0,"액션, 모험, SF","존 쿠삭, 아만다 피트, 추이텔 에지오포, 탠디 뉴턴, 올리버 플랫, 톰 맥카시, 우디 해럴슨, 대니 글로버, Liam James, Morgan Lily, 즐라트코 부리치, Beatrice Rosen, Alexandre Haussmann, Philippe Haussmann, Johann Urb, John Billingsley, 친 한, Osric Chau, 張錚, Lisa Lu, Blu Mankuma, George Segal, Stephen McHattie, Patrick Bauchau, Jimi Mistry, Ryan McDonald, Merrilyn Gann, Henry O, Patrick Gilmore, Dean Marshall, Ron Selmour, Viv Leacock, Chris Boyd, Donna Yamamoto, Doron Bell, David Orth, Lyndall Grant, Jason Diablo, Ty Olsson, Zinaid Memišević, Vincent Cheng, Igor Morozov, BJ Harrison, Dominic Zamprogna, 케린 코너벌, Mary Gillis, Rick Tae, Parm Soor, Gerard Plunkett, Paul Tryl, Andrei Kovski, Val Cole, 이브 할로, Sean Tyson, Leonard Tenisci, Michael Buffer, Daren A. Herbert, Craig Stanghetta, Mateen Devji, Qayam Devji, Jody Thompson, Tanya Champoux, Frank C. Turner, Kinua McWatt, Laara Sadiq, Gillian Barber, Candus Churchill, Beverley Elliott, Agam Darshi, Raj Lal, Pesi Daruwalla, Jacob Blair, Jay Williams, Scott E. Miller, Anna Mae Wills, John Stewart, Ryan Cook, Brandon Haas, Eddie Hassell, Betty Phillips, Georgina Hegedos, Luis Javier, Dean Redman, Gordon Lai, Mark Docherty, Andrew Moxham, Alexandra Castillo, Farouk A. Afify, Shaun Wilson, Leo Chiang, Elizabeth Richard, Kyle Riefsnyder, George Trochta, John Mee, Geoff Gustafson, Alex Zahara, Jason Griffith, Jill Morrison, Thomas Parkinson, Leona Naidoo, Chad Riley, Simon Leung, Quentin Guyon, Nicole Rudell, Kevin Haaland, Leigh Burrows",https://image.tmdb.org/t/p/w500/kdyhLTaforuBk0CjnACiMXuj7zd.jpg
108,더 킹,2017-01-18,"43,494,687,535","5,318,202","1,310","107,989",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,134분,8.39,한재림,434724.0,"범죄, 액션","조인성, 정우성, 배성우, 김아중, 류준열, 김의성, 정은채, 김소진, 황승언, 이주연, 한수연, 고아성, 조우진, 금새록, 소희정, 오대환, 류진, 이규호, Jo Hyun-wu, 김금순, Jang Yeo-bin, 정성모, Kim Byeong-soon, Lee Seo-yi, 이윤희, 배용근, Song Hyeong-su, Kim Yeon-soo, 이나경",https://image.tmdb.org/t/p/w500/mNC4JtrcGxuWoU6yK5d6rCUI1an.jpg
109,완득이,2011-10-20,"38,534,841,000","5,311,497",629,"117,821",한국,한국,(주)씨제이이엔엠,드라마,107분,8.8,이한,91078.0,"드라마, 코미디","유아인, 김윤석, 박수영, Lee Jasmine, 김영재, 안길강, 박효주, 강별, 김동영, 조덕제, 성유빈, 김상호, Sudip Banerjee, 조상건, Kim Jong-man, 윤경호, 김윤태",https://image.tmdb.org/t/p/w500/f9ycej2SvjdAgIrVCi5u4JudnhP.jpg
110,트랜스포머: 사라진 시대,2014-06-25,"44,012,752,845","5,295,836","1,602","107,875",미국,미국,(주)씨제이이엔엠,SF,164분,7.44,마이클 베이,91314.0,"SF, 액션, 모험","마크 월버그, Peter Cullen, 스탠리 투치, Kelsey Grammer, 니콜라 펠츠, 잭 레이너, 프랭크 웰커, Sophia Myles, 리빙빙, Titus Welliver, 존 굿맨, 와타나베 켄, 존 디마지오, Mark Ryan, T.J. 밀러, James Bachman, 토마스 레넌, 찰스 파넬, Erika Fong, 韓庚, Michael Christopher Collins, Zou Shiming, Richard Riehle, Patrick Bristow, Cleo King, Calvin Wimmer, Glenn Keogh, David Midthunder, Richard Gallion, Nick Horst, Kassem Gharaibeh, Edward T. Welburn, Yanis Kalnins, Peter A Kelly, Jessica Gomes, Andreas Beckett, Alexander Leeb, Jamison Haase, Drew Wicks, Gene Shieh, Woei Bee, Wang Ying, William Wang, Melanie Specht, Abigail Klein, Greg Matthew Anderson, 임백굉, Victoria Summer, Kevin Covais, B. Adam Baillio, Mikal Vega, Andrew Arrabito, Tyrone Smith, Kenny Sheard, Kevin Kent, 왕민덕, Winston Yeh Ying-Wen, 여량위, Candice Zhao, Li Jun Ting, Howard Y. Woo, Jingsheng Yu, Ben Wang, Eddie San Chan, Zhang Tianyu, Wu Gang, Teresa Daley, Robert Foxworth, Reno Wilson, 마이클 베이",https://image.tmdb.org/t/p/w500/zPbiUwVSToxgQHMAbuzint09fHf.jpg
111,완벽한 타인,2018-10-31,"44,356,976,474","5,294,154","1,325","143,075",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,115분,9.08,이재규,548352.0,"드라마, 코미디","유해진, 조진웅, 이서진, 염정아, 김지수, 송하윤, 윤경호, 지우, 최유화, 이순재, 이도경, 라미란, 조정석, 조달환, 김민교, 정석용, Choi Sun-ja, Jeong Min-gyu, 정지훈",https://image.tmdb.org/t/p/w500/9lhxidWwP7iIyw1Zax9gUtdFZXT.jpg
112,조커,2019-10-02,"45,778,663,951","5,284,344","1,418","151,193",미국,미국,워너브러더스 코리아(주),스릴러,123분,8.97,토드 필립스,475557.0,"범죄, 스릴러, 드라마","호아킨 피닉스, 로버트 드 니로, 재지 비츠, 프랜시스 콘로이, 브래트 컬렌, 쉐어 위햄, 빌 캠프, 글렌 플레쉬러, 리 길, Josh Pais, Rocco Luna, 마크 매런, Sondra James, Murphy Guyer, Douglas Hodge, Dante Pereira-Olson, Carrie Louise Putrello, Sharon Washington, Hannah Gross, Frank Wood, 브라이언 타이리 헨리, April Grace, Mick Szal, Carl Lundstedt, Michael Benz, Ben Warheit, Gary Gulman, Sam Morril, Chris Redd, Mandela Bellamy, Demetrius Dotson II, Greer Barnes, Ray Iannicelli, Bryan Callen, Peter Hans Benson, Vito Gerbino, Adam Quezada, Xavyer Ureña, Evan Rosado, Damian Emmanuel, Mike Troll, Jane Fergus, David Gibson, Tony D. Head, Jeff McCarthy, Kim Brockington, Troy Roberts, Lou Young, Michael-Scott Druckenmiller, Craig Austin, John Cenatiempo, Danny Schoch, Keith Buterbaugh, 제임스 식콘, Rich Campbell, Roger Squitero, Steven Elson, Graham Mabry, John Alldred, Alonzo Wright, Jack Wilkins, Richard Baratta, Mary Kate Malat, Adrienne Acevedo Lovette, 저스틴 서로, Alissa Bourne, Jamaal Burcher, John Cashin, Jason John Cicalese, Brendan Patrick Connor, Blaise Corrigan, Dennis Jay Funny, James P. Harkins, Joseph Hernandez, Ben Heyman, Graham Maby, Jesse Schratz, Isabella Ferreira, Shade Rupe, Michael Lepre",https://image.tmdb.org/t/p/w500/6OnFzi7nU6t4j1rmX9QI8EYDWb4.jpg
113,월드 워 Z,2013-06-20,"38,589,794,000","5,244,336",964,"102,831",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,115분,8.25,마크 포스터,72190.0,"액션, 공포, SF, 스릴러","브래드 피트, Mireille Enos, דניאלה קרטס‎, James Badge Dale, Ludi Boeken, Matthew Fox, Fana Mokoena, 데이비드 모스, 엘예스 가벨, Sterling Jerins, 피터 카팔디, Pierfrancesco Favino, 루스 네가, 모리츠 블라이프트로이, Abigail Hargrove, Fabrizio Guido, David Andrews, John Gordon Sinclair, Grégory Fitoussi, Jane Perry, Lucy Russell, Mark Holden, Tim Berrington, Константин Хабенский, 미힐 하위스만, Ann Ogbomo, Jonathan Howard, Mike Noble, Ernesto Cantu, Vicky Araico, Graham Hornsby, Nick Bartlett, Kevin Kiely Jnr, Ruari Cannon, Ryen Perkins-Gangnes, Khalid Laith, Noa Bodner, Troy Glasgow, Julia Levy-Boeken, Lee Nicholas Harris, Assaf Ben-Shimon, Gil Cohen-Alloro, Yaniv Rokah, Shaul Ezer, Linoy Aynesaz, Efrat Avni, Maisam Masri, Renu Setna, Ori Pfeffer, Imran Mraish, Yousef Hayyan Jubeh, Josh Wingate, Richard Thomson, Ewan Ross, Song Xuan Ke, Christian Wong, Denis Ischenko, Nikola Đuričko, Elen Rhys, Paula Videniece, Doron Davidson, Lee Colley, Michael Jenn, Sarah Amankwah, Anna Biczik, Gábor Czap, Katalin Dombi, Eniko Fulop, Istvan Karikas, Andrea Meszaros, Gergely Mészáros, Peter Molnár, Lambert Tóth, Roland Tzafetás, Jeno Radi, Ádám Zambrzyscki, Maddox Jolie-Pitt, Alma Rix, Darren Kendrick, Ryan Hartwig, Taylor Murphy, Dayle Teegarden, Audrey Marie Bartolo",https://image.tmdb.org/t/p/w500/cnUlKvIXbTmDnyp6pIGIMgdl332.jpg
114,타워,2012-12-25,"37,656,008,000","5,181,244",638,"81,151",한국,한국,(주)씨제이이엔엠,드라마,121분,8.02,김지훈,154030.0,"액션, 드라마","설경구, 손예진, 김상경, 조민아, 도지한, 안성기, 이한위, 차인표, 송재호, 이주실, 전국향, 김수진, 김성오, 박정학, 박철민, Kwon Hyun-sang, 박용수, Kim Moon-hak, Min Young, Lee Joo-ha, 김응수, 권태원, Choo Min Gi, 이창용, 안성기, 정인기, 김인권, Park Kyung-man, 전배수, 박재웅, Park Joon Seo, 박영수",https://image.tmdb.org/t/p/w500/3CgvLrylM3RmjRmZXyb6B4AXtj2.jpg
115,미녀와 야수,2017-03-16,"42,256,976,659","5,156,757","1,627","142,750",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,판타지,129분,8.99,빌 콘돈,321612.0,"가족, 판타지, 로맨스","엠마 왓슨, 댄 스티븐스, 루크 에반스, 조시 게드, 케빈 클라인, Hattie Morahan, Haydn Gwynne, Gerard Horan, Ray Fearon, 이완 맥그리거, 이안 맥켈런, 엠마 톰슨, Nathan Mack, Audra McDonald, 스탠리 투치, 구구 음바타로, Clive Rowe, Thomas Padden, Rita Davies, D.J. Bailey, Adrian Schiller, Harriet Jones, Adam Mitchell, Tom Turner, Michael Jibson, Zoe Rainey, Daisy Duczmal, Jolyon Coy, Jimmy Johnston, Dean Street, Alexis Loizon, Sophie Reid, Rafaëlle Cohen, Carla Nella, Obioma Ugoala, Lynne Wilmot, Jane Fowler, Alison Harding, Chris Andrew Mellon, Jemma Alexander, Sandy Strallen, Dale Branston, Daniel Ioannou, Peter Challis, Wendy Baldock, Norma Atallah, Leo Andrew, Steven Butler, Sharon Gomez, Jacqui Jameson, Vivien Parry, Simone Sault, Beth Willetts, Mandy Montanez, Tom Oakley, William Bozier, Jak Allen-Anderson, Phil Grannel, Freddie August, Nicola Keen, Ebony Molina, Alison Jenkins, Ellen O'Grady, Dawn Buckland, Rebecca Mckinnis, Jody Hall, Ben Fox, Nathan Vaughan Harris, Tim Stanley, Ben Clare, Marina Abdeen, Danielle Acors, Hayley Ainsley, Rhianne Alleyn, Gabby Antrobus, Sophie Atkins, Koko Basigara, Holly Bluett, Daisy Boyles, Ava Brennan, Sophia Brown, Sophie Carmen-Jones, Cassie Clare, Tanya Cumberland, Natalie Davis, Paige Drury-Lawrence, Stephanie Elstob, Cordelia Farnworth, Cj Field, Lily Frazer, Lucy Alexa Gilbert, Helen Gulstan, Selina Hamilton, Leah Hill, Abigayle Honeywill, Chelsea Inez, Blythe Jandoo, Shireen Jathoonia, Billie Kay-Piper, Hannah Kenna-Thomas, Ella Kora, Jennifer Leung, Emily Loumba, Cassie Macmillian, Fiona McDonald, Samira Mighty, 미즈노 소노야, Anna Momcilovic, Nicola Mooi, Nicole O'Neill, Abiona Omonua, Jazz Peters, Courtney Pruce, Kayla Radam, Katie Singh, Lucy St. Louis, Ruth Steele, Jasmine Takacs, Naomi Weijand, Leah West, Skye Lucia Degruttola, Timia Julien-Box, Adelaide Morgan, Gemma Fray, Lara Decaro, Max Brophy, Samuel Brown, Daniel Daszek-Green, Freddie Hunter, Joey Brown, Tom Burgering, Nate Leung, Kai Gordon, Oscar Francisco, Harry Marcus, Johanna Smitz, Isobel Hamilton",https://image.tmdb.org/t/p/w500/tzYsKo6wGoBrP51eL9wDzfDP6Vx.jpg
116,밀수,2023-07-26,"49,686,998,003","5,143,481","1,932","167,673",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,129분,7.94,류승완,783110.0,"범죄, 액션","김혜수, 염정아, 조인성, 박정민, 김종수, 고민시, 김재화, 박준면, 박경혜, 주보비, Kwak Jin-seok, Jeong Do-won, 신민재, Kim Chung-gil, Lee Jung-soo, 안세호, 최종원, 김원해, Kim Kyung-duk, 윤병희, 김기천, 진경, 윤경호, Yoon Jong-goo, Sin Yeong-ok, Hong Seong-o, Kim Joon-sik, 이상희, Koo Bon-woong, 백주희, Brian M. Van Hise, Sungsoo Yune, Baek Seung-chul",https://image.tmdb.org/t/p/w500/ayLXqPZCu3uaLLhXiqvw5NBb7Lw.jpg
117,미션 임파서블 3,2006-05-03,"32,141,243,900","5,124,671",437,"72,534",미국,미국,UIP코리아,모험,124분,8.83,J.J. 에이브럼스,956.0,"모험, 액션, 스릴러","톰 크루즈, 필립 세이모어 호프만, 빙 레임스, 빌리 크루덥, 미셸 모나한, 조나단 리스 마이어스, 케리 러셀, 매기 큐, 사이먼 페그, 에디 마산, 로렌스 피시번, Bahar Soomekh, Jeff Chase, Michael Berry Jr., 칼라 갤로, Bellamy Young, Paul Keeley, Jane Daly, Greg Grunberg, Sabra Williams, Rose Rollins, Sasha Alexander, Tracy Middendorf, 아론 폴, Kathryn Fiore, Colleen Crozier, Sean O'Bryan, Bruce French, Ellen Bry, Patrick Pankhurst, Tony Guma, James Shanklin, Anne Betancourt, Antonietta De Lorenzo, Andrea Sartoretti, Antonio Del Prete, Francesco De Vito, Giorgio Marchesi, Niccolò Senni, Paolo Bonacelli, David Waters, Michael G. Kehoe, Timothy Omundson, José Zúñiga, William Francis McGuire, Michelle Arthur, Barney Cheng, 張佐治, Brandon Molale, Simon Rhee, Marcus Young, Jerry Trimble, Alex Kurtzman, Roberto Orci",https://image.tmdb.org/t/p/w500/5ewF4yDrc7oez0jfppcNYt5Qh3A.jpg
118,투사부일체,2006-01-19,"31,949,667,000","5,073,037",407,"54,332",한국,한국,씨제이엔터테인먼트,코미디,124분,5.69,김동원,19609.0,"액션, 코미디, 범죄","정준호, 정웅인, 정운택, 김상중, Kang Sung-pil, 최윤영, 한효주, 이수혁, 하하, Park Yong-sik, 이태란, Choon Ja, 손영순",https://image.tmdb.org/t/p/w500/rBnZFKZ4zsC7cB75IytqoZ05tyI.jpg
119,쿵푸팬더 2,2011-05-26,"44,310,427,500","5,064,796",948,"101,447",미국,미국,(주)씨제이이엔엠,애니메이션,91분,8.71,여인영,49444.0,"애니메이션, 가족, 코미디","잭 블랙, 안젤리나 졸리, 더스틴 호프만, 게리 올드만, 성룡, 루시 리우, 세스 로건, David Cross, 양자경, 제임스 홍, 대니 맥브라이드, Dennis Haysbert, 장클로드 반담, 빅터 가버, Mike Bell, Jason Bertsch, Michael DeMaio, Shane Glick, Lena Golia, April Hong, Joseph Izzo, Alexandra Gold Jourden, Stephen Kearin, Liam Knight, Paul Mazursky, Dan O'Connor, Jeremy Shipp, Maury Sterling, Fred Tatasciore, Lauren Tom, 로미 로즈몬트, 콘래드 버논",https://image.tmdb.org/t/p/w500/bPocc0TkmgENeBcreGSq3nNiEB7.jpg
120,독전,2018-05-22,"43,491,762,113","5,064,323","1,532","140,052",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,123분,8.42,이해영,518963.0,"범죄, 액션, 스릴러","조진웅, 류준열, 김주혁, 차승원, 김성령, 박해준, 남문철, 서현우, 강승현, 정준원, 정가람, 진서연, 김동영, 이주영, 금새록, 박성연, Lee Ye-eun, 이지민, Park Eun-young, 김태준, 나기수, Jang Tae-min, Park Hyun-ji, Yoon Jae-in, 금광산, 백승환, Han Sang-cheul, Cha Soon-hyeong, 안성봉, Hwang Ki-seok",https://image.tmdb.org/t/p/w500/uKrVg8dQUiXCR6Wf1yx573ElFT1.jpg
121,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스,범죄,123분,9.09,나홍진,13855.0,"범죄, 스릴러, 액션","김윤석, 하정우, 서영희, 김유정, 정인기, 박효주, 조덕제, 최정우, 오연아, Lee Jae-hui, Koo Bon-woong, Yoo Ji-yeon, Kim Sun-young, Song Yo-sep, 이종구, 이상희, 박진우, Jeong Jae-hoon, Park Chan-guk, Jung Seo-in, Son Hee-soon, Seong-kwang Ha, Yeo Moo-yeong",https://image.tmdb.org/t/p/w500/4bWVILPrb7gaqwA2j6xIcg4Ak3D.jpg
122,아쿠아맨,2018-12-19,"44,145,008,504","5,041,187","1,285","105,440",미국,"미국,호주",워너브러더스 코리아(주),액션,143분,8.77,제임스 완,297802.0,"액션, 모험, 판타지","제이슨 모모아, 엠버 허드, 윌렘 대포, 패트릭 윌슨, 니콜 키드먼, 돌프 룬드그렌, 야히아 압둘 마틴 2세, 테무에라 모리슨, Ludi Lin, 마이클 비치, 랜들 박, Graham McTavish, Leigh Whannell, Tainui Kirkwood, Tamor Kirkwood, Denzel Quirke, Kaan Guldur, Otis Dhanji, Kekoa Kekumano, 줄리 앤드류스, 존 라이스 데이비스, 자이먼 혼수, Andrew Crawford, Sophia Forrest, Natalia Safran, Micah Ohlman, Jack Andrew, Frankie Creagh-Leslie, Sophia Emberson-Bain, Ilya Melnikoff, Hank Amos, Kyryl Koltsov, Patrick Cox, Luke Owen, Robert Longstreet, Devika Parikh, Sonny Le, Jon Fabian, Mabel Tamone, Rita Dinardo, Anthony Standish, Nicolette Bianca, Victor Leto, Vincent B. Gorce, Gabriella Petkova, Oriana Lacono, Pearl Grantham, Noa Tsuchiya, Alice Lanesbury, Nicolas Bosc, Joshua Levinson, Jordy Campbell, Braden Lewis",https://image.tmdb.org/t/p/w500/5tetypC0S7BwpBk1ZG36wExvNYj.jpg
123,공작,2018-08-08,"42,795,690,816","4,975,517","1,317","99,122",한국,한국,(주)씨제이이엔엠,드라마,137분,7.86,윤종빈,517991.0,"드라마, 역사, 스릴러","황정민, 이성민, 조진웅, 주지훈, 정소리, 김홍파, 기주봉, 김응수, Chae Yong, 박성웅, 박진영, 남문철, 최병모, 김인우, 곽자형, 김소진, Jeong Gi-seop, 이승준, Choi Jeong-in, Kim Hyun, 민무제, 금새록, 이동희, Kang Jun-seok, Park Won-Hee, 홍기준, 김규백, 오경화, Kim Woo-hyeon, 설창희, Oh Jin-ha, 이효리, 김병옥, 김대중, Lee Hoi-chang, Hwang In-sung, Park Woo-jae, Yoon Jae-in, 박경찬, 허승",https://image.tmdb.org/t/p/w500/uTiYfP9ESTHl1tHw2VJzqdxEtvF.jpg
124,인사이드 아웃,2015-07-09,"38,055,237,936","4,972,640",931,"84,307",미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,102분,9.05,피트 닥터,150540.0,"애니메이션, 가족, 모험, 드라마, 코미디","에이미 폴러, 필리스 스미스, 리처드 카인드, 빌 헤이더, 루이스 블랙, 민디 케일링, Kaitlyn Dias, 다이앤 레인, 카일 맥라클란, Paula Poundstone, 바비 모니한, 폴라 펠, 데이브 고엘스, 프랭크 오즈, 조시 쿨리, 플리, John Ratzenberger, Carlos Alazraqui, Peter Sagal, 라시다 존스, Lori Alan, Gregg Berger, Veronika Bonell, John Cygan, Andrea Datzman, 피트 닥터, Tony Fucile, Randy Hahn, Jacob Hopkins, Evan Hudak, Molly Jackson, Sophia Lee Karadi, Erik Langley, Sherry Lynn, Mona Marshall, Bret Parker, Nick Pitera, Murray Pearl Schaeffer, Paris Van Dyke, Lennon Wynn, Aurora Blue, Lola Cooley, Dani Dare, 로니 델카르멘, Keith Ferguson, Mary Gibbs, Carter Hastings, Emma Hudak, Dara Iruka, Daniella Jones, Elissa Knight, 돈 루이스, Tony Maki, Laraine Newman, Phil Proctor, Patrick Seitz, Jim Ward, Dashell Zamm",https://image.tmdb.org/t/p/w500/rMXHvHzpuYZXrJUhRVJ3TvDSwe5.jpg
125,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주),액션,141분,8.61,매튜 본,343668.0,"액션, 모험, 코미디","태런 에저턴, 콜린 퍼스, 줄리앤 무어, 마크 스트롱, 한나 알스트룀, 할리 베리, 페드로 파스칼, 채닝 테이텀, Edward Holcroft, 제프 브리지스, 에밀리 왓슨, 소피 쿡슨, 마이클 갬본, 엘튼 존, 브루스 그린우드, 토마스 터구스, Calvin Demba, Tobi Bakare, Gordon Alexander, Keith Allen, Tom Benedict Knight, Poppy Delevingne, Björn Granath, Lena Endre, Samantha Coughlan, Martyn Ford, Grant Gillespie, Tara Hugo, Nicholas Colicos, Jordan Mifsud, Kaye Brown, Paul Giddings, Iain McKee, Mark Arnold, Shannon Bream, James Carroll Jordan, Bill Hemmer, Stacey Swift, Alessandro De Marco, Antonio Magro, Stephen Schreiber, Count Prince Miller, Jeff Ricketts, Joe Gallina, Ammara Niwaz, Mingus Johnston, Samantha Womack, James Clayton, Bimbo Hart, Chester King, Alastair MacIntosh, Max Macintosh, Tom Parker Bowles, Carlos Peres, Grant Crookes, Rene Costa, Al Fenderico",https://image.tmdb.org/t/p/w500/fq0WdmuL6JnBSH3jD2rszcOex68.jpg
126,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,121분,7.6,김주호,132711.0,"코미디, 액션","차태현, 오지호, 민효린, 성동일, 신정근, 고창석, 김향기, 송종호, 이채영, 오나라, 송중기, 이문식",https://image.tmdb.org/t/p/w500/udgtiu6Ke8Y1o0aSIxxad1GqqY6.jpg
127,더 퍼스트 슬램덩크,2023-01-04,"51,307,749,605","4,903,225","1,060","238,845",일본,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,124분,9.25,이노우에 다케히코,,,,
128,하얼빈,2024-12-24,"46,824,087,480","4,896,237","2,125","196,114",한국,한국,(주)씨제이이엔엠,드라마,114분,8.09,우민호,610251.0,"액션, 스릴러, 역사, 전쟁","현빈, 박정민, 조우진, 전여빈, 이동욱, 박훈, 유재명, 릴리 프랭키, 정우성, 김지오, 이태형, 안세호, 윤여원, 윤상호, 박동하, 허승, Son In-yong, Son Seung-hoon, 에고 미키타스, Park Ki-deok, 김은우, 조하석, Yoon Jeong-sub, 천재홍, 안병우, 최민우, Jang Yo-hoon, Son Kyeong-pyo, Choi Yoon-bin, Kang Seung-joo, Byeon Gyeong-rok, Hooper, Lewis",https://image.tmdb.org/t/p/w500/68D8dptiLWxUqwM9Iop1pNedSZL.jpg
